scenario,size,method,success_rate,avg_return,avg_steps_on_success,prep_time_sec,eval_time_sec,total_time_sec
scalability,8,CSPReplanning,1.0,8.4125,17.5375,0.0,0.07201716600684449,0.07201716600684449
scalability,8,ValueIteration,1.0,8.7625,17.1375,0.016865832993062213,0.0028927499952260405,0.019758582988288254
scalability,8,QLearning,1.0,7.675,17.975,0.08507483301218599,0.003504332999000326,0.08857916601118632
scalability,10,CSPReplanning,1.0,2.85,21.8,0.0,0.13832795797497965,0.13832795797497965
scalability,10,ValueIteration,1.0,3.1125,21.6875,0.030688416998600587,0.003489958995487541,0.03417837599408813
scalability,10,QLearning,1.0,2.3625,22.2875,0.10892633401090279,0.0041878749907482415,0.11311420900165103
scalability,12,CSPReplanning,1.0,-1.4,26.95,0.0,0.20607895799912512,0.20607895799912512
scalability,12,ValueIteration,1.0,-0.5125,26.5125,0.23324245799449272,0.004172749991994351,0.23741520798648708
scalability,12,QLearning,1.0,-1.2,27.2,0.1343497500056401,0.005031874985434115,0.1393816249910742
scalability,14,CSPReplanning,1.0,-16.4625,32.4625,0.0,0.49270345899276435,0.49270345899276435
scalability,14,ValueIteration,1.0,-10.95,31.1,0.07108137500472367,0.0048337499902118,0.07591512499493547
scalability,14,QLearning,0.0,-56.0,,0.21518304100027308,0.00946841700351797,0.22465145800379105
scalability,16,CSPReplanning,1.0,-31.6125,37.9125,0.0,1.2649164579925127,1.2649164579925127
scalability,16,ValueIteration,1.0,-16.225,36.575,0.42018274997826666,0.005632707994664088,0.42581545797293074
scalability,16,QLearning,0.0,-64.0,,0.2500141249911394,0.011155292013427243,0.26116941700456664
